,Item,Score,Target,accountAssignmentElement.prefLabel,administrativeClassification.prefLabel,budgetPhase.prefLabel,businessArea.prefLabel,currency.currency,economicClassification.prefLabel,fiscalYear.prefLabel,functionalClassification.prefLabel,operationCharacter.prefLabel,organization.organization,profitCenter.prefLabel
57,40,4.8321602853919,0,"""40-13 SEP",Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Zuf. zu Pensionsrückst. f. Versorg.empf.,2018,PB03 SchultrĂ¤geraufgaben,Expenditure,http://dbpedia.org/resource/Bonn,Amt 40 TE-übergr.
58,52,2.8818444615447,1061.28,GGS Carl-Schurz-Schule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Zuf. zu Pensionsrückst. f. Versorg.empf.,2018,Grundschulen,Expenditure,http://dbpedia.org/resource/Bonn,Grundschulen
59,99,2.59444871783097,434.16,GGS Waldschule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Zuf. zu Pensionsrückst. f. Versorg.empf.,2018,Grundschulen,Expenditure,http://dbpedia.org/resource/Bonn,Grundschulen
60,24,2.59261042989425,373.2,Rheinschule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beih./Unterstützungsl. für Versorg.empf.,2018,FĂśrderschulen,Expenditure,http://dbpedia.org/resource/Bonn,Förderschulen
61,33,2.57499426836353,3025.2,Heinrich-Hertz-Berufskolleg,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beih./Unterstützungsl. für Versorg.empf.,2018,Berufskollegs,Expenditure,http://dbpedia.org/resource/Bonn,Berufskollegs
62,77,2.55054325647362,1000.92,Grundschulverbund MarienschuleNordschule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Zuf. zu Pensionsrückst. f. Versorg.empf.,2018,Grundschulen,Expenditure,http://dbpedia.org/resource/Bonn,Grundschulen
63,35,2.46260535395583,2673.24,Ludwig-Erhard-Berufskolleg,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beih./Unterstützungsl. für Versorg.empf.,2018,Berufskollegs,Expenditure,http://dbpedia.org/resource/Bonn,Berufskollegs
64,79,475.451342865119,986.64,GGS Marktschule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Zuf. zu Pensionsrückst. f. Versorg.empf.,2018,Grundschulen,Expenditure,http://dbpedia.org/resource/Bonn,Grundschulen
65,32,2.41014697556369,2508.96,Friedrich-List-Berufskolleg,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beih./Unterstützungsl. für Versorg.empf.,2018,Berufskollegs,Expenditure,http://dbpedia.org/resource/Bonn,Berufskollegs
66,36,2.32117082170939,2230.32,Robert-Wetzlar-Berufskolleg,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beih./Unterstützungsl. für Versorg.empf.,2018,Berufskollegs,Expenditure,http://dbpedia.org/resource/Bonn,Berufskollegs
67,73,2.07681398297943,455.28,GGS Kreuzbergschule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Zuf. zu Pensionsrückst. f. Versorg.empf.,2018,Grundschulen,Expenditure,http://dbpedia.org/resource/Bonn,Grundschulen
68,16,1.9128490715708,2979.46,Wohnberatung,Amt für Soziales und Wohnen,Approved,Amt für Soziales und Wohnen,http://data.openbudgets.eu/codelist/currency/EUR,Beitr. Versorg.kassen f. tarifl. Besch.,2021,Soziale Einrichtungen,Expenditure,http://dbpedia.org/resource/Bonn,Soz. Einrichtungen
69,29,1.83509829103129,1308.6,Bertolt-Brecht-Gesamtschule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beih./Unterstützungsl. für Versorg.empf.,2018,Gesamtschulen,Expenditure,http://dbpedia.org/resource/Bonn,Gesamtschulen
70,46,1.80518720926899,851.16,KGS Bernhardschule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Zuf. zu Pensionsrückst. f. Versorg.empf.,2018,Grundschulen,Expenditure,http://dbpedia.org/resource/Bonn,Grundschulen
71,31,1.75920703126994,1279.56,Gesamtschule Bonn-Beuel,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beih./Unterstützungsl. für Versorg.empf.,2018,Gesamtschulen,Expenditure,http://dbpedia.org/resource/Bonn,Gesamtschulen
72,30,1.68015767778225,1227.84,Elisabeth-Selbert-Gesamtschule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beih./Unterstützungsl. für Versorg.empf.,2018,Gesamtschulen,Expenditure,http://dbpedia.org/resource/Bonn,Gesamtschulen
73,97,339.686584990065,453.86,Grundschulverbund MarienschuleNordschule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Pauschalierte Lohnsteuer,2017,Grundschulen,Expenditure,http://dbpedia.org/resource/Bonn,Grundschulen
74,17,163.36944688281,191.16,GGS Jahnschule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Pauschalierte Lohnsteuer,2017,Grundschulen,Expenditure,http://dbpedia.org/resource/Bonn,Grundschulen
75,20,128.316038048375,142.2,GGS Karlschule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Pauschalierte Lohnsteuer,2017,Grundschulen,Expenditure,http://dbpedia.org/resource/Bonn,Grundschulen
76,18,8.44749843222133,306.72,Anteilstelle,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Pauschalierte Lohnsteuer,2017,PB03 SchultrĂ¤geraufgaben,Expenditure,http://dbpedia.org/resource/Bonn,Amt 40 TE-übergr.
77,0,7.59447768750493,40667,40-32 Medienzentrum,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Vergütungen der tariflich Beschäftigten,2017,PB03 SchultrĂ¤geraufgaben,Expenditure,http://dbpedia.org/resource/Bonn,Amt 40 TE-übergr.
78,98,7.30681169978545,1086.38,Anteilstelle,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Pauschalierte Lohnsteuer,2017,PB03 SchultrĂ¤geraufgaben,Expenditure,http://dbpedia.org/resource/Bonn,Amt 40 TE-übergr.
79,87,5.15659325469906,57980,40-32 Medienzentrum,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Bezüge der Beamten,2017,PB03 SchultrĂ¤geraufgaben,Expenditure,http://dbpedia.org/resource/Bonn,Amt 40 TE-übergr.
80,85,2.68634009616799,104534,Grundschulverbund MarienschuleNordschule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Vergütungen der tariflich Beschäftigten,2021,Grundschulen,Expenditure,http://dbpedia.org/resource/Bonn,Grundschulen
